UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,20.564370967741933.1,Unnamed: 122,Unnamed: 123,18.5,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
MATERIALES INDIRECTOS,4.99,0,,,0,,4.99,,,730,0,,,,,730,,,35910.19,0.0036954116975879557,,,,,35910.19,,,36645.18,0.0013317735488195563,,0,0,,,,,0,,,0,0,,,,,0,,,5.41,0,,,,,5.41,,,5.41,0,,0,0,,,,,0,,,0,0,,,,,0,,,52964.57,0.004142554254100521,,,,,52964.57,,,52964.57,0.0016445223688419733,,7.04,0,,,,,7.04,,,,,,,,,,,,,,,,,,,,,7.04,0,,89622.2,0,,0,0,,89622.2,,,,,,
COMBUSTIBLE,0,0,,,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
HERRAMIENTAS Y EQ MENORES,0,0,,,0,,0,,,0,0,,,,,0,,,5021.97,0,,,,,5021.97,,,5021.97,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,5021.97,0,,0,0,,5021.97,,,,,,
EQ PROTECCION Y SEGURIDAD,0,0,,,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
MAQUILA,0,0,,,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
DIVERSOS,0,0,,,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
RECOLECCION DE BASURA ,5950,0,,,0,,5950,,,0,0,,,,,0,,,4920,0,,,,,4920,,,10870,0,,5770,0,,,,,5770,,,3970,0,,,,,3970,,,0,0,,,,,0,,,9740,0,,9450,0.0010461106072560255,,,,,9450,,,0,0,,,,,0,,,7030,0,,,,,7030,,,16480,0,,8650,0,,,,,8650,,,,,,,,,,,,,,,,,,,,,8650,0,,45740,0,,0,0,,45740,,,,,,
ARRENDAMIENTO DE EQUIPOS,24500,0.0028654391874490164,,17262.621997135502,0.0015364788852549273,,7237.378002864498,0.001328960302194089,,12500,0.0013515859618343756,,,,,12500,,,24500,0.00252122271118323,,,,,24500,,,61500,0.002235057195855027,,21000,0.0027568504602943854,,,,,21000,,,21000,0.0025145294842004867,,,,,21000,,,24500,0.002923824725629545,,,,,24500,,,66500,0.002731198362500619,,24500,0.00271213861140451,,,,,24500,,,21000,0.0020216196705426783,,,,,21000,,,0,0,,,,,0,,,45500,0.0014127513502386554,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,173500,0.0017901630788306128,,17262.621997135502,0.0015364788852549273,,156237.37800286448,,,,,,
GASTOS DE FABRICACION,583041.75,0.06819063993342256,,438235.7049718962,0.03900565670532888,,144806.0450281038,0.02918498322809368,,599923.97,0.06486790528159576,,,,,599923.97,,,654241.1299999999,0.06732602430800734,,,,,654241.1299999999,,,1837206.8499999999,0.0667684941523032,,1079135.2799999998,0.14166736158990048,,,,,1079135.2799999998,,,599070.4,0.07173238971008472,,,,,599070.4,,,588210.89,0.07019696098230858,,,,,588210.89,,,2266416.57,0.09308320638689127,,610286.68,0.06755845178995383,,,,,610286.68,,,674050.4,0.06488921655129336,,,,,674050.4,,,637132.86,0.049832509536473744,,,,,637132.86,,,1921469.94,0.059660642905010726,,581363.84,0.04525103640172538,,,,,581363.84,,,,,,,,,,,,,,,,,,,,,581363.84,0.04525103640172538,,6606457.2,0.06816504761564651,,438235.7049718962,0.03900565670532888,,6168221.495028105,0.029159390910317634,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSTO DE VENTAS DIRECTO,8649399.09,1.01160518777028,,10138807.701519063,0.9024158646136751,,-1489408.6115190613,0.10918932315660501,,8901170.160000002,0.9624557305724036,,,,,8901170.160000002,,,9262098.91,0.9531352704129568,,,,,9262098.91,,,26812668.16,0.9744365351395279,,8306242.059999999,1.0904317736394087,,,,,8306242.059999999,,,6965907.440000001,0.8340942686710255,,,,,6965907.440000001,,,7774878.199999999,0.9278522906089032,,,,,7774878.199999999,,,23047027.7,0.9465564558608484,,8670797.83,0.9598532892418548,,,,,8670797.83,,,8207739.550000001,0.7901394154748149,,,,,8207739.550000001,,,9868827.890000002,0.7718774070799663,,,,,9868827.890000002,,,26747365.270000003,0.8304917890223961,,10246976.219999999,0.7975836507802657,,,,,10246976.219999999,,,,,,,,,,,,,,,,,,,,,10246976.219999999,0.7975836507802657,,86854037.35000001,0.8961549908434873,,10138807.701519063,0.9024158646136751,,76715229.64848095,-0.0062608737701878026,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARGEN DE BRUTO,-99226.35999997891,-0.01160518777028013,,1096375.6536178663,0.09758413538632492,,-1195602.0136178469,-0.10918932315660505,,347224.20999994315,0.03754426942759635,,,,,347224.20999994315,,,455408.3500000313,0.046864729587043276,,,,,455408.3500000313,,,703406.1999999955,0.025563464860472035,,-688853.9199999962,-0.09043177363940863,,,,,-688853.9199999962,,,1385555.5799999833,0.1659057313289745,,,,,1385555.5799999833,,,604557.0599999893,0.07214770939109687,,,,,604557.0599999893,,,1301258.7199999765,0.05344354413915169,,362663.7700000126,0.04014671075814526,,,,,362663.7700000126,,,2179971.010000048,0.2098605845251851,,,,,2179971.010000048,,,2916658.2499999385,0.22812259292003362,,,,,2916658.2499999385,,,5459293.029999999,0.16950821097760393,,2600549.189999962,0.2024163492197343,,,,,2600549.189999962,,,,,,,,,,,,,,,,,,,,,2600549.189999962,0.2024163492197343,,10064507.139999926,0.1038450091565127,,1096375.6536178663,0.09758413538632492,,8968131.486382052,0.006260873770187775,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASTOS DE ADMINISTRACION:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABOR INDIRECTA,162.08,0,,8414.435957346808,0,,-8252.355957346808,,,0,0,,,,,0,,,234.46999999999753,0,,,,,234.46999999999753,,,396.54999999999757,0,,1907.08,0,,,,,1907.08,,,145.8099999999995,0,,,,,145.8099999999995,,,0,0,,,,,0,,,2052.8899999999994,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,2449.439999999997,0,,8414.435957346808,0,,-5964.995957346811,,,,,,
MANTENIMIENTO INSTALACIONES,0,0,,0,0,,0,,,0,0,,,,,0,,,2076,0,,,,,2076,,,2076,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,2076,0,,0,0,,2076,,,,,,
MANTENIMIENTO ACTIVO FIJO,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
ARRENDAMIENTO,172184.75,0.020138160413514777,,141825.19666666668,0.012623309489811009,,30359.553333333315,0.007514850923703768,,172184.75,0.01861779927535692,,,,,172184.75,,,172184.75,0.017719024580383946,,,,,172184.75,,,516554.25,0.01877281778068287,,172184.75,0.022604171775865413,,,,,172184.75,,,172184.75,0.020617315743080462,,,,,172184.75,,,172184.75,0.020548490996993542,,,,,172184.75,,,516554.25,0.02121521987583061,,172184.75,0.019060771786531948,,,,,172184.75,,,172184.75,0.016575813217498736,,,,,172184.75,,,172184.75,0.013467203993230467,,,,,172184.75,,,516554.25,0.016038740970527824,,172184.75,0.013402172364335533,,,,,172184.75,,,,,,,,,,,,,,,,,,,,,172184.75,0.013402172364335533,,1721847.5,0.017765924045399385,,141825.19666666668,0.012623309489811009,,1580022.3033333332,0.005142614555588376,,,,,
ENERGIA ELECTRICA,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
TRANSPORTE DE PERSONAL,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
DEPRECIACIONES Y AMORT.,528.89,0,,101.94,0,,426.95,,,528.89,0,,,,,528.89,,,528.89,0,,,,,528.89,,,1586.67,0,,528.89,0,,,,,528.89,,,528.89,0,,,,,528.89,,,528.89,0,,,,,528.89,,,1586.67,0,,528.89,0,,,,,528.89,,,528.89,0,,,,,528.89,,,528.89,0,,,,,528.89,,,1586.67,0,,528.89,0,,,,,528.89,,,,,,,,,,,,,,,,,,,,,528.89,0,,5288.900000000001,0,,101.94,0,,5186.960000000001,,,,,,
COMBUSTIBLE,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
DIVERSOS,600,0,,0,0,,600,,,0,0,,,,,0,,,600,0,,,,,600,,,1200,0,,600,0,,,,,600,,,0,0,,,,,0,,,600,0,,,,,600,,,1200,0,,600,0,,,,,600,,,0,0,,,,,0,,,0,0,,,,,0,,,600,0,,600,0,,,,,600,,,,,,,,,,,,,,,,,,,,,600,0,,3600,0,,0,0,,3600,,,,,,
SEGUROS,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
TELEFONO,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
DERECHOS Y CONTRIB,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
GASTOS DE VIAJE,0,0,,0,0,,0,,,0,0,,,,,0,,,413.66,0,,,,,413.66,,,413.66,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,2744.45,0,,,,,2744.45,,,2744.45,0,,11916.81,0,,,,,11916.81,,,,,,,,,,,,,,,,,,,,,11916.81,0,,15074.919999999998,0,,0,0,,15074.919999999998,,,,,,
ARRENDAM MAQ Y EQUIPO,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
PAPELERIA,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,831,0,,,,,831,,,0,0,,,,,0,,,1600,0,,,,,1600,,,2431,0,,862.07,0,,,,,862.07,,,0,0,,,,,0,,,0,0,,,,,0,,,862.07,0,,948.28,0,,,,,948.28,,,,,,,,,,,,,,,,,,,,,948.28,0,,4241.35,0,,0,0,,4241.35,,,,,,
MENSAJERIA Y PAQUETERIA,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
EQUIPOS MENORES,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,629.31,0,,,,,629.31,,,629.31,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,629.31,0,,0,0,,629.31,,,,,,
HONORARIOS,10743.92,0.0012565734446864179,,5463.1359999999995,0,,5280.784000000001,0.0012565734446864179,,10743.92,0.0011617065157657268,,,,,10743.92,,,10743.92,0.0011056251065769684,,,,,10743.92,,,32231.760000000002,0.0011713793028141825,,10743.92,0.0014104467046364788,,,,,10743.92,,,10743.92,0.0012864716007567282,,,,,10743.92,,,10743.92,0.0012821770998443175,,,,,10743.92,,,32231.760000000002,0.0013237794004889167,,10743.92,0.0011893469497894346,,,,,10743.92,,,10743.9,0.001034289503730642,,,,,10743.9,,,29077.2,0.0022742349943996837,,,,,29077.2,,,50565.02,0.0015700175885680135,,19910.56,0.001549758367047282,,,,,19910.56,,,,,,,,,,,,,,,,,,,,,19910.56,0.001549758367047282,,134939.1,0.00139229391764053,,5463.1359999999995,0,,129475.964,0.00139229391764053,,,,,
NO DEDUCIBLES,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,3255.09,0,,,,,3255.09,,,,,,,,,,,,,,,,,,,,,3255.09,0,,3255.09,0,,0,0,,3255.09,,,,,,
COMEDOR,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
CAPACITACION Y ADIESTRAMIENTO,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
EQUIPO DE TRABAJO,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
DONATIVOS,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
RECLUTAMIENTO,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
ARTICULOS DE LIMPIEZA,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
ADMON PLANTA,335551.53449999995,0.039245000667957164,,298174.9658113525,0.026539394719804148,,37376.56868864747,0.012705605948153016,,343930.6798200001,0.03718815029510924,,,,,343930.6798200001,,,320810.0368199999,0.03301361431861682,,,,,320810.0368199999,,,1000292.25114,0.03635301453444684,,311433.01098,0.040884487603384735,,,,,311433.01098,,,300663.59232000005,0.03600130798639405,,,,,300663.59232000005,,,271338.47832,0.032381475588845396,,,,,271338.47832,,,883435.0816200001,0.03628325486159617,,293456.74176,0.032485524902214624,,,,,293456.74176,,,220881.72834000003,0.021263754613124203,,,,,220881.72834000003,,,264250.7322,0.02066802382846283,,,,,264250.7322,,,778589.2023,0.024174790040232146,,282573.66228000005,0.02199440384527723,,,,,282573.66228000005,,,,,,,,,,,,,,,,,,,,,282573.66228000005,0.02199440384527723,,2944890.1973400004,0.03038520865987473,,298174.9658113525,0.026539394719804148,,2646715.231528648,0.003845813940070584,,,,,
GASTOS DE ADMON PLANTA,519771.17449999996,0.06079072211913065,,453979.67443536595,0.04040696623146771,,65791.50006463398,0.02038375588766294,,527388.2398200001,0.057024843310180255,,,,,527388.2398200001,,,507591.72682,0.05223476692519583,,,,,507591.72682,,,1554751.14114,0.05650337765477677,,498228.65098000003,0.06540675646600304,,,,,498228.65098000003,,,484266.96232000005,0.05798588357037363,,,,,484266.96232000005,,,456996.03832000005,0.05453780883080666,,,,,456996.03832000005,,,1439491.6516200001,0.05912086077801288,,478376.37176,0.052956041985056906,,,,,478376.37176,,,404339.26834000007,0.038924772307094214,,,,,404339.26834000007,,,469415.33220000006,0.03671470345827634,,,,,469415.33220000006,,,1352130.9723,0.04198296388607321,,491918.04228000005,0.03828893320554262,,,,,491918.04228000005,,,,,,,,,,,,,,,,,,,,,491918.04228000005,0.03828893320554262,,4838291.807340001,0.04992121820235565,,453979.67443536595,0.04040696623146771,,4384312.132904635,0.00951425197088794,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASTOS DE VENTA:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABOR INDIRECTA,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
MANTENIMIENTO INSTALACIONES,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
MANTENIMIENTO ACTIVO FIJO,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
FLETES,0,0,,0,0,,0,,,0,0,,,,,0,,,24000,0.002469769186465205,,,,,24000,,,24000,0,,0,0,,,,,0,,,7000,0,,,,,7000,,,0,0,,,,,0,,,7000,0,,0,0,,,,,0,,,0,0,,,,,0,,,14175,0.001108679000922218,,,,,14175,,,14175,0,,16000,0.0012453760151777,,,,,16000,,,,,,,,,,,,,,,,,,,,,16000,0.0012453760151777,,61175,0,,0,0,,61175,,,,,,
HONORARIOS,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
GASTOS DE VIAJE,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
COMBUSTIBLE ,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
GASTOS EXPORTACION,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
TELEFONO,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
DEPRECIACIONES Y AMORT.,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
SERVICIOS CALIDAD,0,0,,0,0,,0,,,0,0,,,,,0,,,1907.08,0,,,,,1907.08,,,1907.08,0,,1907.08,0,,,,,1907.08,,,1907.08,0,,,,,1907.08,,,1907.08,0,,,,,1907.08,,,5721.24,0,,1907.08,0,,,,,1907.08,,,1907.08,0,,,,,1907.08,,,1907.08,0,,,,,1907.08,,,5721.24,0,,1907.08,0,,,,,1907.08,,,,,,,,,,,,,,,,,,,,,1907.08,0,,15256.64,0,,0,0,,15256.64,,,,,,
