UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,,Unnamed: 122,Unnamed: 123,0,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134
COMEDOR,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
CAPACITACION Y ADIESTRAMIENTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,25466.64,0
EQUIPO DE TRABAJO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,535.5,0,,68695.2,0.0018850038691598332
DONATIVOS,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
RECLUTAMIENTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
ARTICULOS DE LIMPIEZA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1630,0.013380052426821373,,0,,,1630,,,0,,,0,,,0,,,1630,0.013380052426821373,,0,,,0,,,0,,,0,0,,0,,,0,,,2854.5,0.028453947368421054,,0,,,2854.5,,,2854.5,0.010530367909916566,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,4484.5,0.011413953539749638,,0,,,4484.5,,,36265.57,0.000995131243045901,,36265.57,0.000995131243045901
ADMON PLANTA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
GASTOS DE ADMON PLANTA,1755749.23,,,1775423.1667345918,,,-19673.93673459195,,,1778143.9599999997,,,1794475.5380418908,,,-16331.578041891109,,,1717818.0899999999,,,1778543.27390754,,,-60725.18390754032,,,5251711.279999999,,,1850619.37,,,1792297.3681386919,,,58322.001861307996,,,1850644.53,15.191239775957179,,1799362.5319163348,,,51281.99808366481,,,1840836.41,,,1807730.1531025053,,,33106.25689749438,,,5542100.3100000005,45.493001657977295,,1833685.2299999997,,,1993769.8147977854,,,-160084.5847977855,,,1827456.2799999998,10.702328361145899,,1775680.7459427582,,,51775.534057241406,,,1884767.7699999998,18.78755751594896,,1856744.8534184252,,,28022.916581574485,,,5545909.279999999,20.459087445584334,,1808293.21,,,1778025.2743704612,,,30267.935629538406,,,,,,,,,,,,,,,,,,,,,1808293.21,,,18148014.08,46.190342189283584,,18152052.72037099,,,-4038.640370988316,,,21509964.599999998,0.5902358024504047,,18977602.699999996,0.5207475124445098
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASTOS DE VENTA:,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABOR INDIRECTA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
MANTENIMIENTO INSTALACIONES,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
MANTENIMIENTO ACTIVO FIJO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
FLETES,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
HONORARIOS,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
GASTOS DE VIAJE,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
COMBUSTIBLE ,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
GASTOS EXPORTACION,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
TELEFONO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
DEPRECIACIONES Y AMORT.,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
SERVICIOS CALIDAD,55996,,,,,,55996,,,8324.3,,,,,,8324.3,,,1282.97,,,,,,1282.97,,,65603.27,,,1282.97,,,,,,1282.97,,,1282.97,0.010531414639287742,,,,,1282.97,,,1282.97,,,,,,1282.97,,,3848.91,0.031594243917863224,,1282.97,,,,,,1282.97,,,1282.97,0.007513594917575459,,,,,1282.97,,,1282.97,0.012788775917065391,,,,,1282.97,,,3848.91,0.014198787301508834,,1282.97,,,,,,1282.97,,,,,,,,,,,,,,,,,,,,,1282.97,,,74584.06000000001,0.18983141836233683,,0,,,74584.06000000001,,,0,0,,53897.97,0.0014789662449466718
DIVERSOS,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
EQUIPOS MENORES,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
ARRENDAM MAQ Y EQUIPO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
GASTOS DE VENTA,55996,,,0,,,55996,,,8324.3,,,0,,,8324.3,,,1282.97,,,0,,,1282.97,,,65603.27,,,1282.97,,,0,,,1282.97,,,1282.97,0.010531414639287742,,0,,,1282.97,,,1282.97,,,,,,1282.97,,,3848.91,0.031594243917863224,,1282.97,,,,,,1282.97,,,1282.97,0.007513594917575459,,,,,1282.97,,,1282.97,0.012788775917065391,,,,,1282.97,,,3848.91,0.014198787301508834,,1282.97,,,,,,1282.97,,,,,,,,,,,,,,,,,,,,,1282.97,,,74584.06000000001,0.18983141836233683,,0,,,74584.06000000001,,,0,0,,53897.97,0.0014789662449466718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASTOS DE ADMON CORPORATIVO,0,,,972.0343814026387,,,-972.0343814026387,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,3202.948392821323,0.026291789825983167,,0,,,3202.948392821323,,,0,,,,,,0,,,3202.948392821323,0.026291789825983167,,0,,,,,,0,,,4186.161747017059,0.02451586835743328,,3409.9814736095905,,,776.1802734074681,,,2237.0495215944643,0.022299137974426477,,0,,,2237.0495215944643,,,6423.211268611523,0.023695490566334302,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,9626.159661432846,0.02450051045641802,,4382.015855012229,,,5244.143806420618,,,692554.6490977432,0.018902471591597594,,692554.6490977432,0.018567502800001977
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASTOS MONTERREY IV,0,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASTOS HACIENDA SAN JOSE,0,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL DE GASTOS,1811745.23,,,1776395.2011159945,,,35350.02888400541,,,1786468.2599999998,,,1794475.5380418908,,,-8007.27804189111,,,1719101.0599999998,,,1778543.27390754,,,-59442.21390754032,,,5317314.549999999,,,1851902.34,,,1792297.3681386919,,,59604.971861308,,,1855130.4483928212,15.228062980422449,,1799362.5319163348,,,55767.916476486134,,,1842119.38,,,1807730.1531025053,,,34389.22689749438,,,5549152.168392822,45.550887691721144,,1834968.1999999997,,,1993769.8147977854,,,-158801.6147977855,,,1832925.4117470167,10.734357824420908,,1779090.7274163677,,,53834.68433064887,,,1888287.7895215943,18.822645429840453,,1856744.8534184252,,,31542.93610316895,,,5556181.401268611,20.496981723452176,,1809576.18,,,1778025.2743704612,,,31550.905629538407,,,,,,,,,,,,,,,,,,,,,1809576.18,,,18232224.29966143,46.40467411810234,,18156434.736226,,,75789.56343543231,,,22202519.249097742,0.60923957845155,,19724055.31909774,0.5412302546906018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARGEN DE OPERACIÓN,-2198266.93,,,-2164130.4111159947,,,-34136.51888400542,,,-2224990.42,,,-2185039.028041891,,,-39951.391958108885,,,-2146938.48,,,-2180683.0939075397,,,33744.61390754035,,,-6570195.83,,,-2239300.8000000003,,,-2181654.608138692,,,-57646.19186130797,,,-2210299.1983928215,-18.14350868310258,,-2203940.5119163347,,,-6358.686476486109,,,-2305328.87,,,-2203817.8831025055,,,-101510.98689749438,,,-6754928.868392821,-55.448651778248546,,-2222538.9499999997,,,-2461046.9947977853,,,238508.04479778552,,,-2219779.781747017,-12.99993459416132,,-2166205.9374163677,,,-53573.84433064902,,,-2282819.9995215945,-22.755382770350824,,-2243860.063418425,,,-38959.93610316893,,,-6725138.731268611,-24.809313394810996,,-2215419.86,,,-2165140.484370461,,,-50279.37562953841,,,,,,,,,,,,,,,,,,,,,-2215419.86,,,-22265683.289661434,-56.6706376628332,,-22155519.016226,,,-110164.27343543291,,,-31129563.019097753,-0.8541986446833858,,-27853645.859097745,-0.7643071162847916
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANTENIMIENTO MAYORES FABRIC,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
FLETES ACTIVOS FIJOS FABRIC,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
GASTOS DE IMPORTACION ACTIVOS FIJOS,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
MANTENIMIENTO MAYORES ADMON,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
MANTENIMIENTO MAYORES VENTA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,,,0,,,0,0,,0,0
MTTO MAYORES,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,,,,,,,0,,,0,0,,0,0,,0,,,0,0,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARGEN,-2198266.93,,,-2164130.4111159947,,,-34136.51888400542,,,-2224990.42,,,-2185039.028041891,,,-39951.391958108885,,,-2146938.48,,,-2180683.0939075397,,,33744.61390754035,,,-6570195.83,,,-2239300.8000000003,,,-2181654.608138692,,,-57646.19186130797,,,-2210299.1983928215,-18.14350868310258,,-2203940.5119163347,,,-6358.686476486109,,,-2305328.87,,,-2203817.8831025055,,,-101510.98689749438,,,-6754928.868392821,-55.448651778248546,,-2222538.9499999997,,,-2461046.9947977853,,,238508.04479778552,,,-2219779.781747017,-12.99993459416132,,-2166205.9374163677,,,-53573.84433064902,,,-2282819.9995215945,-22.755382770350824,,-2243860.063418425,,,-38959.93610316893,,,-6725138.731268611,-24.809313394810996,,-2215419.86,,,-2165140.484370461,,,-50279.37562953841,,,0,,,0,,,0,,,0,,,,,,,,,-2215419.86,,,-22265683.289661434,-56.6706376628332,,-22155519.016226,,,-110164.27343543291,,,-31129563.019097753,-0.8541986446833858,,-27853645.859097745,-0.7643071162847916
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
OTROS INGRESOS 16%,38751.68,,,48127.419500215125,,,-9375.739500215124,-0.19481076686800577,,0,,,0,,,0,,,0,,,0,,,0,,,38751.68,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,0,,0,,,,,,0,,,0,,,161850.044946943,,,-161850.044946943,,,0,,,0,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,0,,,38751.68,,,209977.46444715813,,,-171225.78444715813,-0.8154483858445103,,195309.74,27.77244792036971,,195309.74,27.77244792036971
OTROS INGRESOS 0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
UTILIDAD O (PERDIDA) DE OPERACIÓN,-2159515.25,,,-2116002.9916157797,,,-43512.25838422054,,,-2224990.42,,,-2185039.028041891,,,-39951.391958108885,,,-2146938.48,,,-2180683.0939075397,,,33744.61390754035,,0,-6531444.15,,,-2239300.8000000003,,,-2181654.608138692,,,-57646.19186130797,,,-2210299.1983928215,-18.14350868310258,,-2203940.5119163347,,,-6358.686476486109,,,-2305328.87,,,-2203817.8831025055,,,-101510.98689749438,,,-6754928.868392821,-55.448651778248546,,-2222538.9499999997,,,-2461046.9947977853,,,238508.04479778552,,,-2219779.781747017,-12.99993459416132,,-2004355.8924694248,,,-215423.889277592,,,-2282819.9995215945,-22.755382770350824,,-2243860.063418425,,,-38959.93610316893,,,-6725138.731268611,-24.809313394810996,,-2215419.86,,,-2165140.484370461,,,-50279.37562953841,,,0,,,0,,,0,,,0,,,,,,,,,-2215419.86,,,-22226931.609661434,-56.57200685112459,,-21945541.55177884,,,-281390.05788259103,,,-30934253.279097755,-0.8488393238635236,,-27658336.119097747,-0.7589477954649294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6531444.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6754928.868392822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6725138.731268611,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,-2215419.86,,,-20011511.749661434,,,-19780401.06740838,,,-231110.68225305295,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manode Obra Directa,2979.05,,,,,,,,,10799.3,,,,,,,,,14838.96,,,,,,,,,28617.309999999998,,,0,,,,,,,,,90.88,0.0007459994874536972,,,,,,,,0,,,,,,,,,90.88,0.0007459994874536972,,0,,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,21267.13,,,,,,,,,0,,,,,,,,,0,,,,,,,,,21267.13,,,49975.32,0.12719723059741797,,,,,,,,3243763.63,0.08900923198695027,,3244579.51,0.08903161982419026
Semanal,595.8100000000001,,,,,,,,,2699.825,,,,,,,,,3709.74,,,,,,,,,2201.3315384615385,,,0,,,,,,,,,18.176,,,,,,,,,0,,,,,,,,,6.990769230769231,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,4253.426,,,,,,,,,0,,,,,,,,,0,,,,,,,,,4253.426,,,1135.8027272727272,,,,,,,,,62380.06980769231,,,73740.4434090909,
Mano de Obra Directa Total,2979.05,,,,,,,,,10799.3,,,,,,,,,14838.96,,,,,,,,,28617.309999999998,,,0,,,,,,,,,90.88,0.0007459994874536972,,,,,,,,0,,,,,,,,,90.88,0.0007459994874536972,,0,,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,21267.13,,,,,,,,,0,,,,,,,,,0,,,,,,,,,21267.13,,,49975.32,0.12719723059741797,,,,,,,,3243763.63,0.08900923198695027,,3244579.51,0.08903161982419026
Semanal,595.8100000000001,,,,,,,,,2699.825,,,,,,,,,3709.74,,,,,,,,,2201.3315384615385,,,0,,,,,,,,,18.176,,,,,,,,,0,,,,,,,,,6.990769230769231,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,4253.426,,,,,,,,,0,,,,,,,,,0,,,,,,,,,4253.426,,,1135.8027272727272,,,,,,,,,62380.06980769231,,,73740.4434090909,
Mano de Obra Indirecta,166100.6,,,,,,,,,190022.91999999998,,,,,,,,,82511.22,,,,,,,,,438634.74,,,196553.35,,,,,,,,,194941.61000000002,1.6002018171588748,,,,,,,,190827.78,,,,,,,,,582322.74,4.780066742656609,,200307,,,,,,,,,193416.63,1.1327265704907934,,,,,,,,247181.38,2.4639292264752792,,,,,,,,640905.01,2.3643249432856037,,178028.56,,,,,,,,,0,,,,,,,,,0,,,,,,,,,178028.56,,,1839891.0499999996,4.682892398907609,,,,,,,,7010293.540000001,0.19236322838926426,,6618046.670000001,0.181599930988342
Mantenimiento Instalaciones,4896,,,,,,,,,0,,,,,,,,,0,,,,,,,,,4896,,,0,,,,,,,,,12768.45,0.10481136834923152,,,,,,,,0,,,,,,,,,12768.45,0.10481136834923152,,0,,,,,,,,,0,0,,,,,,,,8228.359999999999,0.08202113237639552,,,,,,,,8228.359999999999,0.030354758484932933,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,25892.809999999998,0.06590240391427468,,,,,,,,329116.08,0.009030981556247267,,329116.08,0.009030981556247267
